outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.88,(0.82 - 0.95),0.81,(0.72 - 0.9),0.74,(0.65 - 0.84)
Stroke,Male Population,Both,0.9,(0.86 - 0.93),0.83,(0.78 - 0.89),0.78,(0.71 - 0.85)
Rectum cancer,Female Population,Both,1.07,(0.9 - 1.27),1.12,(0.85 - 1.49),1.16,(0.81 - 1.66)
Rectum cancer,Male Population,Both,0.96,(0.81 - 1.14),0.94,(0.73 - 1.22),0.98,(0.76 - 1.27)
Endometrial cancer,Female Population,Both,0.93,(0.89 - 0.98),0.89,(0.82 - 0.97),0.84,(0.75 - 0.95)
Coronary heart disease,Female Population,Fatal,0.73,(0.64 - 0.84),0.65,(0.54 - 0.77),0.63,(0.53 - 0.74)
Coronary heart disease,Female Population,Both,0.84,(0.76 - 0.93),0.75,(0.64 - 0.89),0.7,(0.56 - 0.86)
Coronary heart disease,Male Population,Fatal,0.85,(0.71 - 1.01),0.8,(0.64 - 1),0.8,(0.66 - 0.98)
Coronary heart disease,Male Population,Both,0.94,(0.89 - 0.99),0.9,(0.83 - 0.98),0.87,(0.79 - 0.97)
Colon cancer,Female Population,Both,0.97,(0.92 - 1.02),0.94,(0.86 - 1.03),0.92,(0.83 - 1.02)
Colon cancer,Male Population,Both,0.91,(0.85 - 0.97),0.85,(0.76 - 0.95),0.81,(0.69 - 0.94)
Breast cancer,Female Population,Both,0.97,(0.96 - 0.99),0.95,(0.93 - 0.97),0.92,(0.89 - 0.95)
All-cause mortality,Female Population,Fatal,0.85,(0.81 - 0.88),0.75,(0.69 - 0.8),0.69,(0.63 - 0.75)
All-cause mortality,Female Population,Both,0.85,(0.81 - 0.88),0.75,(0.69 - 0.8),0.69,(0.63 - 0.75)
All-cause mortality,Male Population,Fatal,0.88,(0.85 - 0.92),0.8,(0.75 - 0.85),0.72,(0.66 - 0.78)
All-cause mortality,Male Population,Both,0.88,(0.85 - 0.92),0.8,(0.75 - 0.85),0.72,(0.66 - 0.78)
All-cause cvd,Female Population,Fatal,0.78,(0.71 - 0.87),0.68,(0.59 - 0.79),0.67,(0.6 - 0.75)
All-cause cvd,Female Population,Both,0.8,(0.73 - 0.89),0.71,(0.62 - 0.82),0.7,(0.63 - 0.77)
All-cause cvd,Male Population,Fatal,0.86,(0.8 - 0.92),0.78,(0.7 - 0.87),0.73,(0.68 - 0.79)
All-cause cvd,Male Population,Both,0.87,(0.83 - 0.92),0.8,(0.74 - 0.86),0.75,(0.71 - 0.81)
All-cause cancer,Female Population,Fatal,0.95,(0.92 - 0.98),0.91,(0.86 - 0.96),0.86,(0.79 - 0.92)
All-cause cancer,Female Population,Both,0.97,(0.95 - 0.99),0.94,(0.91 - 0.97),0.91,(0.86 - 0.96)
All-cause cancer,Male Population,Fatal,0.91,(0.88 - 0.93),0.85,(0.81 - 0.89),0.82,(0.77 - 0.86)
All-cause cancer,Male Population,Both,0.96,(0.94 - 0.99),0.93,(0.89 - 0.98),0.89,(0.83 - 0.96)
