outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.86,(0.77 - 0.95),0.79,(0.69 - 0.91),0.74,(0.65 - 0.84)
Stroke,Male Population,Both,0.88,(0.84 - 0.93),0.82,(0.77 - 0.89),0.8,(0.74 - 0.87)
Rectum cancer,Female Population,Both,1.12,(0.87 - 1.44),1.14,(0.83 - 1.56),1.11,(0.76 - 1.63)
Rectum cancer,Male Population,Both,0.91,(0.74 - 1.12),0.9,(0.7 - 1.15),0.92,(0.72 - 1.18)
Endometrial cancer,Female Population,Both,0.93,(0.88 - 0.98),0.88,(0.81 - 0.96),0.84,(0.76 - 0.94)
Coronary heart disease,Female Population,Fatal,0.71,(0.6 - 0.85),0.67,(0.56 - 0.8),0.62,(0.49 - 0.78)
Coronary heart disease,Female Population,Both,0.81,(0.72 - 0.91),0.74,(0.63 - 0.88),0.72,(0.6 - 0.87)
Coronary heart disease,Male Population,Fatal,0.83,(0.67 - 1.02),0.79,(0.63 - 1.01),0.79,(0.64 - 0.98)
Coronary heart disease,Male Population,Both,0.91,(0.83 - 0.99),0.88,(0.78 - 0.98),0.87,(0.77 - 0.98)
Colon cancer,Female Population,Both,0.96,(0.91 - 1.02),0.94,(0.86 - 1.03),0.93,(0.83 - 1.03)
Colon cancer,Male Population,Both,0.9,(0.84 - 0.97),0.84,(0.75 - 0.95),0.81,(0.7 - 0.93)
Breast cancer,Female Population,Both,0.97,(0.96 - 0.98),0.95,(0.92 - 0.97),0.92,(0.89 - 0.95)
All-cause mortality,Female Population,Fatal,0.82,(0.78 - 0.86),0.73,(0.67 - 0.79),0.69,(0.63 - 0.75)
All-cause mortality,Female Population,Both,0.82,(0.78 - 0.86),0.73,(0.67 - 0.79),0.69,(0.63 - 0.75)
All-cause mortality,Male Population,Fatal,0.85,(0.81 - 0.89),0.78,(0.74 - 0.83),0.79,(0.7 - 0.9)
All-cause mortality,Male Population,Both,0.85,(0.81 - 0.89),0.78,(0.74 - 0.83),0.79,(0.7 - 0.9)
All-cause cvd,Female Population,Fatal,0.76,(0.68 - 0.85),0.67,(0.58 - 0.78),0.66,(0.59 - 0.75)
All-cause cvd,Female Population,Both,0.79,(0.71 - 0.88),0.71,(0.61 - 0.81),0.69,(0.62 - 0.77)
All-cause cvd,Male Population,Fatal,0.85,(0.78 - 0.92),0.78,(0.7 - 0.86),0.73,(0.68 - 0.8)
All-cause cvd,Male Population,Both,0.86,(0.81 - 0.91),0.79,(0.73 - 0.86),0.75,(0.7 - 0.81)
All-cause cancer,Female Population,Fatal,0.94,(0.91 - 0.97),0.9,(0.85 - 0.95),0.86,(0.81 - 0.92)
All-cause cancer,Female Population,Both,0.97,(0.95 - 0.99),0.94,(0.91 - 0.98),0.91,(0.86 - 0.96)
All-cause cancer,Male Population,Fatal,0.87,(0.83 - 0.92),0.85,(0.8 - 0.9),0.84,(0.79 - 0.89)
All-cause cancer,Male Population,Both,0.94,(0.9 - 0.98),0.9,(0.84 - 0.97),0.87,(0.8 - 0.96)
