outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.91,(0.72 - 1.14),0.84,(0.56 - 1.25),0.73,(0.43 - 1.26)
Stroke,Both,0.9,(0.87 - 0.92),0.82,(0.78 - 0.87),0.75,(0.7 - 0.81)
Stroke,Fatal,0.89,(0.82 - 0.97),0.82,(0.7 - 0.95),0.72,(0.57 - 0.92)
Rectum cancer,Both,0.98,(0.94 - 1.02),0.96,(0.89 - 1.04),0.96,(0.86 - 1.07)
Prostate cancer,Both,1,(0.99 - 1.02),1.01,(0.98 - 1.03),1.01,(0.97 - 1.05)
Prostate cancer,Fatal,0.97,(0.91 - 1.04),0.96,(0.85 - 1.07),0.94,(0.81 - 1.11)
Parkinson's disease,Both,0.9,(0.84 - 0.96),0.81,(0.72 - 0.92),0.71,(0.59 - 0.84)
Parkinson's disease,Non-fatal,0.89,(0.82 - 0.98),0.81,(0.69 - 0.95),0.7,(0.56 - 0.86)
Myeloma,Both,0.91,(0.82 - 1.01),0.85,(0.7 - 1.03),0.8,(0.61 - 1.06)
Myeloid leukemia,Both,0.87,(0.74 - 1.03),0.8,(0.62 - 1.03),0.79,(0.62 - 1)
Major depression,Both,0.86,(0.8 - 0.94),0.78,(0.68 - 0.89),0.75,(0.63 - 0.89)
Major depression,Non-fatal,0.86,(0.8 - 0.94),0.78,(0.68 - 0.89),0.75,(0.63 - 0.89)
Lung cancer,Both,0.92,(0.89 - 0.96),0.86,(0.81 - 0.92),0.81,(0.72 - 0.92)
Lung cancer,Fatal,0.95,(0.92 - 0.99),0.91,(0.84 - 0.99),0.85,(0.73 - 0.99)
Liver cancer,Both,0.9,(0.84 - 0.97),0.83,(0.73 - 0.93),0.75,(0.63 - 0.89)
Kidney cancer,Both,1.02,(0.96 - 1.09),1.04,(0.93 - 1.17),1.06,(0.88 - 1.28)
Heart failure,Both,0.93,(0.9 - 0.96),0.87,(0.82 - 0.93),0.78,(0.7 - 0.87)
Head and neck cancer,Both,0.84,(0.74 - 0.96),0.73,(0.58 - 0.93),0.66,(0.45 - 0.96)
Gastric cardia cancer,Both,0.91,(0.86 - 0.96),0.83,(0.75 - 0.92),0.74,(0.62 - 0.87)
Esophageal cancer,Both,0.98,(0.93 - 1.04),0.97,(0.87 - 1.08),0.95,(0.8 - 1.13)
Endometrial cancer,Both,0.96,(0.93 - 0.99),0.92,(0.87 - 0.98),0.87,(0.8 - 0.96)
Depressive symptoms,Both,0.88,(0.83 - 0.93),0.79,(0.71 - 0.87),0.69,(0.59 - 0.82)
Depressive symptoms,Non-fatal,0.88,(0.83 - 0.93),0.79,(0.71 - 0.87),0.69,(0.59 - 0.82)
Depression,Both,0.89,(0.85 - 0.92),0.8,(0.75 - 0.86),0.72,(0.64 - 0.81)
Depression,Non-fatal,0.89,(0.85 - 0.92),0.8,(0.75 - 0.86),0.72,(0.64 - 0.81)
Coronary heart disease,Both,0.9,(0.87 - 0.93),0.82,(0.78 - 0.87),0.75,(0.69 - 0.8)
Coronary heart disease,Fatal,0.88,(0.83 - 0.92),0.78,(0.72 - 0.86),0.69,(0.6 - 0.78)
Colon cancer,Both,0.97,(0.94 - 0.99),0.94,(0.89 - 0.99),0.91,(0.84 - 0.98)
Breast cancer,Both,0.98,(0.97 - 0.99),0.96,(0.94 - 0.97),0.93,(0.9 - 0.95)
Breast cancer,Fatal,0.91,(0.8 - 1.02),0.84,(0.69 - 1.03),0.81,(0.64 - 1.01)
Bladder cancer,Both,0.95,(0.88 - 1.01),0.91,(0.82 - 1.01),0.9,(0.81 - 1.01)
Alzheimer's disease,Both,0.91,(0.82 - 1.02),0.85,(0.71 - 1.02),0.78,(0.61 - 0.99)
Alzheimer's disease,Non-fatal,0.92,(0.83 - 1.03),0.86,(0.7 - 1.06),0.81,(0.6 - 1.09)
All-cause mortality,Both,0.82,(0.79 - 0.85),0.72,(0.68 - 0.76),0.65,(0.6 - 0.7)
All-cause mortality,Fatal,0.82,(0.79 - 0.85),0.72,(0.68 - 0.76),0.65,(0.6 - 0.7)
All-cause dementia,Both,0.86,(0.79 - 0.92),0.77,(0.68 - 0.87),0.75,(0.66 - 0.86)
All-cause dementia,Non-fatal,0.84,(0.75 - 0.93),0.74,(0.62 - 0.88),0.71,(0.59 - 0.87)
All-cause cvd,Both,0.86,(0.83 - 0.9),0.77,(0.72 - 0.82),0.68,(0.64 - 0.73)
All-cause cvd,Fatal,0.85,(0.81 - 0.89),0.75,(0.7 - 0.81),0.66,(0.61 - 0.72)
All-cause cancer,Both,0.96,(0.94 - 0.97),0.92,(0.9 - 0.95),0.87,(0.83 - 0.91)
All-cause cancer,Fatal,0.94,(0.92 - 0.96),0.89,(0.86 - 0.92),0.84,(0.8 - 0.88)
