outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Both,1.38,(0.4 - 2.41),3.09,(0.94 - 5.29),4.94,(1.63 - 8.21)
All-cause cancer,Male Population,Fatal,2.72,(1.57 - 3.9),5.13,(3.11 - 7.18),6.21,(4.2 - 8.25)
All-cause cancer,Female Population,Both,0.73,(0.28 - 1.19),1.77,(0.72 - 2.84),3.92,(1.81 - 6.04)
All-cause cancer,Female Population,Fatal,1.56,(0.67 - 2.48),3.51,(1.68 - 5.36),6.27,(3.94 - 8.59)
All-cause cvd,Male Population,Both,2.78,(1.54 - 4.05),6.64,(4.17 - 9.1),10.06,(8.23 - 11.91)
All-cause cvd,Male Population,Fatal,3.16,(1.51 - 4.86),7.78,(4.48 - 11.02),11.82,(9.62 - 14.04)
All-cause cvd,Female Population,Both,4.95,(2.45 - 7.54),10.4,(5.9 - 14.84),13.65,(10.48 - 16.86)
All-cause cvd,Female Population,Fatal,6.15,(3.54 - 8.85),12.83,(8.06 - 17.52),15.65,(11.65 - 19.64)
All-cause mortality,Male Population,Both,3.74,(2.69 - 4.83),7.39,(5.52 - 9.31),10.69,(8.37 - 13.03)
All-cause mortality,Male Population,Fatal,3.74,(2.69 - 4.83),7.39,(5.52 - 9.31),10.69,(8.37 - 13.03)
All-cause mortality,Female Population,Both,5.43,(4 - 6.94),9.82,(7.42 - 12.29),12.3,(9.3 - 15.35)
All-cause mortality,Female Population,Fatal,5.43,(4 - 6.94),9.82,(7.42 - 12.29),12.3,(9.3 - 15.35)
Breast cancer,Female Population,Both,0.43,(0.21 - 0.66),1.11,(0.59 - 1.65),2.54,(1.65 - 3.44)
Colon cancer,Male Population,Both,2.07,(0.78 - 3.48),4.13,(1.68 - 6.71),6.42,(3.07 - 9.85)
Colon cancer,Female Population,Both,0.67,(-0.44 - 1.87),1.39,(-0.8 - 3.68),2.25,(-0.55 - 5.11)
Coronary heart disease,Male Population,Both,2.99,(0.38 - 5.72),5.07,(0.74 - 9.44),6.15,(1.21 - 11.06)
Coronary heart disease,Male Population,Fatal,5.93,(-0.09 - 12.18),9.02,(0.42 - 17.49),9.58,(2.06 - 17.12)
Coronary heart disease,Female Population,Both,7.1,(2.81 - 11.68),12.17,(4.98 - 19.42),14.6,(6.11 - 22.94)
Coronary heart disease,Female Population,Fatal,12.77,(7.19 - 18.48),18.28,(11.23 - 25.25),19.8,(13.49 - 26.07)
Endometrial cancer,Female Population,Both,1.04,(0.23 - 1.94),2.63,(0.72 - 4.68),4.8,(1.87 - 7.82)
Rectum cancer,Male Population,Both,1.9,(-1.52 - 5.71),3.1,(-2.79 - 9.21),1.43,(-3.83 - 6.99)
Rectum cancer,Female Population,Both,-2.64,(-7.02 - 3.4),-4.66,(-10.03 - 2.64),-4.57,(-31.13 - 20.26)
Stroke,Male Population,Both,3.21,(1.72 - 4.8),6.12,(3.47 - 8.89),7.93,(4.87 - 11.07)
Stroke,Female Population,Both,4.71,(1.02 - 8.6),8.9,(2.92 - 14.91),12.79,(7.22 - 18.38)
