outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Both,0.92,(0.28 - 1.58),2.36,(0.73 - 4.01),5.31,(1.73 - 8.82)
All-cause cancer,Male Population,Fatal,2.09,(1.24 - 2.98),4.91,(2.98 - 6.85),7.94,(5.18 - 10.68)
All-cause cancer,Female Population,Both,0.71,(0.29 - 1.14),1.76,(0.75 - 2.79),4.12,(1.88 - 6.36)
All-cause cancer,Female Population,Fatal,1.32,(0.62 - 2.05),3.24,(1.61 - 4.89),6.71,(4 - 9.4)
All-cause cvd,Male Population,Both,2.67,(1.49 - 3.89),6.62,(4.15 - 9.08),10.42,(8.48 - 12.38)
All-cause cvd,Male Population,Fatal,3.05,(1.45 - 4.7),7.8,(4.43 - 11.12),12.2,(9.84 - 14.57)
All-cause cvd,Female Population,Both,4.77,(2.35 - 7.28),10.42,(5.84 - 14.95),14.21,(10.83 - 17.62)
All-cause cvd,Female Population,Fatal,5.88,(3.31 - 8.53),12.94,(7.97 - 17.82),16.63,(12.42 - 20.81)
All-cause mortality,Male Population,Both,3.11,(2.2 - 4.06),6.78,(4.95 - 8.65),11.09,(8.43 - 13.75)
All-cause mortality,Male Population,Fatal,3.11,(2.2 - 4.06),6.78,(4.95 - 8.65),11.09,(8.43 - 13.75)
All-cause mortality,Female Population,Both,4.5,(3.15 - 5.93),9.01,(6.47 - 11.62),12.81,(9.29 - 16.36)
All-cause mortality,Female Population,Fatal,4.5,(3.15 - 5.93),9.01,(6.47 - 11.62),12.81,(9.29 - 16.36)
Breast cancer,Female Population,Both,0.39,(0.22 - 0.57),1.05,(0.61 - 1.51),2.57,(1.66 - 3.49)
Colon cancer,Male Population,Both,1.92,(0.83 - 3.11),4.09,(1.88 - 6.42),6.99,(3.68 - 10.37)
Colon cancer,Female Population,Both,0.63,(-0.31 - 1.66),1.41,(-0.62 - 3.53),2.47,(-0.56 - 5.55)
Coronary heart disease,Male Population,Both,2.25,(0.36 - 4.26),4.31,(0.74 - 7.94),6.4,(1.36 - 11.39)
Coronary heart disease,Male Population,Fatal,5.07,(0.03 - 10.47),8.82,(0.5 - 17.17),9.96,(2.09 - 17.9)
Coronary heart disease,Female Population,Both,6.17,(2.35 - 10.26),11.8,(4.68 - 19),16.48,(6.8 - 25.77)
Coronary heart disease,Female Population,Fatal,10.9,(5.12 - 16.88),18.64,(9.67 - 27.38),21.86,(13.13 - 30.31)
Endometrial cancer,Female Population,Both,0.96,(0.23 - 1.77),2.55,(0.7 - 4.55),5.07,(1.82 - 8.43)
Rectum cancer,Male Population,Both,0.95,(-2.03 - 4.39),1.8,(-4.59 - 8.53),0.54,(-7.35 - 8.59)
Rectum cancer,Female Population,Both,-2.58,(-5.52 - 1.54),-4.98,(-11.27 - 2.96),-2.93,(-28.51 - 20.48)
Stroke,Male Population,Both,2.64,(1.56 - 3.8),5.73,(3.47 - 8.09),9.32,(5.86 - 12.85)
Stroke,Female Population,Both,4.18,(1.36 - 7.16),8.85,(3.4 - 14.33),13.77,(7.29 - 20.13)
