outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.89,(0.65 - 1.21),0.8,(0.48 - 1.36),0.7,(0.35 - 1.39)
Stroke,Both,0.88,(0.85 - 0.91),0.81,(0.77 - 0.85),0.78,(0.69 - 0.87)
Stroke,Fatal,0.89,(0.82 - 0.97),0.81,(0.7 - 0.95),0.72,(0.56 - 0.91)
Rectum cancer,Both,0.97,(0.91 - 1.02),0.94,(0.85 - 1.04),0.94,(0.82 - 1.08)
Prostate cancer,Both,1,(0.99 - 1.02),1.01,(0.98 - 1.03),1.01,(0.97 - 1.05)
Prostate cancer,Fatal,0.97,(0.89 - 1.06),0.96,(0.83 - 1.1),0.95,(0.8 - 1.13)
Parkinson's disease,Both,0.89,(0.81 - 0.98),0.8,(0.68 - 0.95),0.7,(0.55 - 0.89)
Parkinson's disease,Non-fatal,0.88,(0.78 - 0.99),0.79,(0.65 - 0.97),0.68,(0.52 - 0.88)
Myeloma,Both,0.9,(0.78 - 1.04),0.84,(0.66 - 1.06),0.84,(0.64 - 1.11)
Myeloid leukemia,Both,0.86,(0.69 - 1.07),0.79,(0.59 - 1.08),0.78,(0.58 - 1.04)
Major depression,Both,0.84,(0.76 - 0.93),0.76,(0.64 - 0.89),0.74,(0.59 - 0.92)
Major depression,Non-fatal,0.84,(0.76 - 0.93),0.76,(0.64 - 0.89),0.74,(0.59 - 0.92)
Lung cancer,Both,0.93,(0.9 - 0.97),0.88,(0.82 - 0.94),0.8,(0.7 - 0.9)
Lung cancer,Fatal,0.95,(0.91 - 1),0.91,(0.84 - 0.99),0.84,(0.73 - 0.98)
Liver cancer,Both,0.89,(0.83 - 0.96),0.81,(0.71 - 0.92),0.74,(0.62 - 0.89)
Kidney cancer,Both,1.04,(0.95 - 1.14),1.06,(0.9 - 1.25),1.07,(0.85 - 1.35)
Heart failure,Both,0.92,(0.88 - 0.95),0.85,(0.79 - 0.91),0.75,(0.66 - 0.85)
Head and neck cancer,Both,0.82,(0.67 - 0.99),0.71,(0.52 - 0.97),0.62,(0.43 - 0.89)
Gastric cardia cancer,Both,0.91,(0.86 - 0.96),0.83,(0.74 - 0.92),0.73,(0.61 - 0.88)
Esophageal cancer,Both,0.98,(0.91 - 1.05),0.96,(0.84 - 1.1),0.94,(0.77 - 1.14)
Endometrial cancer,Both,0.95,(0.92 - 0.99),0.91,(0.85 - 0.98),0.86,(0.77 - 0.96)
Elevated depressive symptoms,Both,0.86,(0.8 - 0.92),0.77,(0.68 - 0.86),0.69,(0.58 - 0.82)
Elevated depressive symptoms,Non-fatal,0.86,(0.8 - 0.92),0.77,(0.68 - 0.86),0.69,(0.58 - 0.82)
Depression,Both,0.87,(0.82 - 0.91),0.78,(0.71 - 0.85),0.71,(0.62 - 0.81)
Depression,Non-fatal,0.87,(0.82 - 0.91),0.78,(0.71 - 0.85),0.71,(0.62 - 0.81)
Coronary heart disease,Both,0.88,(0.85 - 0.91),0.8,(0.75 - 0.85),0.77,(0.68 - 0.87)
Coronary heart disease,Fatal,0.86,(0.82 - 0.91),0.77,(0.7 - 0.84),0.66,(0.58 - 0.76)
Colon cancer,Both,0.96,(0.93 - 0.99),0.93,(0.88 - 0.99),0.9,(0.83 - 0.98)
Breast cancer,Both,0.97,(0.96 - 0.99),0.95,(0.93 - 0.97),0.91,(0.88 - 0.95)
Breast cancer,Fatal,0.88,(0.75 - 1.03),0.82,(0.65 - 1.03),0.83,(0.7 - 0.98)
Bladder cancer,Both,0.93,(0.85 - 1.01),0.89,(0.79 - 1.01),0.9,(0.76 - 1.06)
Alzheimer's disease,Both,0.85,(0.72 - 1.01),0.78,(0.6 - 1),0.72,(0.55 - 0.96)
Alzheimer's disease,Non-fatal,0.9,(0.78 - 1.03),0.82,(0.64 - 1.06),0.78,(0.55 - 1.1)
All-cause mortality,Both,0.79,(0.76 - 0.83),0.69,(0.64 - 0.73),0.62,(0.57 - 0.68)
All-cause mortality,Fatal,0.79,(0.76 - 0.83),0.69,(0.64 - 0.73),0.62,(0.57 - 0.68)
All-cause dementia,Both,0.81,(0.72 - 0.9),0.73,(0.62 - 0.86),0.77,(0.66 - 0.89)
All-cause dementia,Non-fatal,0.76,(0.65 - 0.9),0.68,(0.53 - 0.86),0.8,(0.66 - 0.97)
All-cause cvd,Both,0.84,(0.8 - 0.88),0.73,(0.68 - 0.79),0.67,(0.62 - 0.73)
All-cause cvd,Fatal,0.82,(0.77 - 0.87),0.71,(0.64 - 0.78),0.65,(0.59 - 0.71)
All-cause cancer,Both,0.95,(0.93 - 0.97),0.91,(0.88 - 0.94),0.84,(0.8 - 0.89)
All-cause cancer,Fatal,0.93,(0.91 - 0.95),0.87,(0.83 - 0.9),0.81,(0.76 - 0.85)
