outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Both,2.32,(0.72 - 3.97),5.29,(1.68 - 8.84),7.6,(2.56 - 12.47)
All-cause cancer,Male Population,Fatal,4.7,(2.87 - 6.55),6.63,(4.27 - 8.99),7.23,(5.04 - 9.43)
All-cause cancer,Female Population,Both,1.26,(0.52 - 2.03),3.08,(1.31 - 4.85),5.92,(2.75 - 9.06)
All-cause cancer,Female Population,Fatal,2.46,(1.06 - 3.89),5.37,(2.6 - 8.13),8.38,(5.13 - 11.58)
All-cause cvd,Male Population,Both,4,(2.43 - 5.61),8.16,(5.52 - 10.79),11.23,(9.47 - 13.02)
All-cause cvd,Male Population,Fatal,4.74,(2.49 - 7.03),9.54,(5.98 - 13.06),12.96,(11.07 - 14.9)
All-cause cvd,Female Population,Both,7.62,(4.2 - 11.09),13.23,(8.15 - 18.19),14,(11.36 - 16.75)
All-cause cvd,Female Population,Fatal,9.39,(5.7 - 13.13),16.04,(10.51 - 21.42),16.26,(12.2 - 20.33)
All-cause mortality,Male Population,Both,5.2,(2.79 - 7.33),9.39,(5.3 - 12.79),8.47,(1.53 - 15.91)
All-cause mortality,Male Population,Fatal,5.2,(2.79 - 7.33),9.39,(5.3 - 12.79),8.47,(1.53 - 15.91)
All-cause mortality,Female Population,Both,7.07,(5.12 - 9.11),12.61,(9.41 - 15.87),15.39,(11.76 - 19.04)
All-cause mortality,Female Population,Fatal,7.07,(5.12 - 9.11),12.61,(9.41 - 15.87),15.39,(11.76 - 19.04)
Breast cancer,Female Population,Both,0.74,(0.39 - 1.1),1.75,(0.98 - 2.54),3.36,(2.14 - 4.6)
Colon cancer,Male Population,Both,2.4,(0.71 - 4.28),5.03,(1.6 - 8.63),7.31,(2.3 - 12.36)
Colon cancer,Female Population,Both,0.78,(-0.47 - 2.13),1.74,(-0.87 - 4.43),2.77,(-0.48 - 6.07)
Coronary heart disease,Male Population,Both,3.75,(0.41 - 7.22),5.59,(0.71 - 10.49),6.32,(1.19 - 11.44)
Coronary heart disease,Male Population,Fatal,7.52,(-0.59 - 15.68),9.71,(-0.05 - 19.2),9.92,(1.8 - 18.05)
Coronary heart disease,Female Population,Both,8.99,(3.68 - 14.54),13.56,(5.72 - 21.37),15.21,(6.52 - 23.72)
Coronary heart disease,Female Population,Fatal,15.12,(6.87 - 23.34),19.33,(10.39 - 27.93),24.19,(12.09 - 35.38)
Endometrial cancer,Female Population,Both,1.57,(0.4 - 2.87),3.9,(1.14 - 6.83),6.45,(2.25 - 10.75)
Rectum cancer,Male Population,Both,3.09,(-3.54 - 10.09),3.95,(-5.42 - 13.3),1.53,(-8.12 - 11.16)
Rectum cancer,Female Population,Both,-4.38,(-13.6 - 5.64),-5.85,(-20.93 - 9.02),-3.56,(-25.65 - 16.28)
Stroke,Male Population,Both,4.43,(2.63 - 6.33),7.8,(4.78 - 10.91),9.2,(5.8 - 12.66)
Stroke,Female Population,Both,6.18,(1.96 - 10.56),10.66,(4.64 - 16.68),14.98,(9.78 - 20.2)
