outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.89,(0.83 - 0.96),0.82,(0.72 - 0.93),0.75,(0.65 - 0.87)
Stroke,Male Population,Both,0.92,(0.89 - 0.95),0.86,(0.82 - 0.91),0.81,(0.74 - 0.87)
Rectum cancer,Female Population,Both,1.09,(0.95 - 1.24),1.14,(0.93 - 1.39),1.12,(0.74 - 1.67)
Rectum cancer,Male Population,Both,0.96,(0.85 - 1.09),0.94,(0.77 - 1.16),0.96,(0.76 - 1.2)
Endometrial cancer,Female Population,Both,0.95,(0.91 - 0.99),0.91,(0.85 - 0.97),0.86,(0.78 - 0.95)
Coronary heart disease,Female Population,Fatal,0.77,(0.67 - 0.88),0.67,(0.55 - 0.81),0.63,(0.52 - 0.77)
Coronary heart disease,Female Population,Both,0.86,(0.78 - 0.94),0.77,(0.66 - 0.9),0.71,(0.58 - 0.87)
Coronary heart disease,Male Population,Fatal,0.87,(0.76 - 1),0.81,(0.67 - 0.99),0.8,(0.66 - 0.97)
Coronary heart disease,Male Population,Both,0.94,(0.89 - 0.99),0.9,(0.83 - 0.98),0.87,(0.78 - 0.97)
Colon cancer,Female Population,Both,0.97,(0.93 - 1.02),0.95,(0.87 - 1.03),0.93,(0.84 - 1.03)
Colon cancer,Male Population,Both,0.92,(0.88 - 0.96),0.86,(0.79 - 0.93),0.8,(0.72 - 0.9)
Breast cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.95 - 0.98),0.93,(0.91 - 0.96)
All-cause mortality,Female Population,Fatal,0.87,(0.85 - 0.9),0.78,(0.74 - 0.83),0.72,(0.67 - 0.77)
All-cause mortality,Female Population,Both,0.87,(0.85 - 0.9),0.78,(0.74 - 0.83),0.72,(0.67 - 0.77)
All-cause mortality,Male Population,Fatal,0.9,(0.88 - 0.92),0.82,(0.79 - 0.86),0.76,(0.72 - 0.81)
All-cause mortality,Male Population,Both,0.9,(0.88 - 0.92),0.82,(0.79 - 0.86),0.76,(0.72 - 0.81)
All-cause cvd,Female Population,Fatal,0.82,(0.75 - 0.89),0.72,(0.63 - 0.82),0.67,(0.59 - 0.76)
All-cause cvd,Female Population,Both,0.85,(0.78 - 0.92),0.75,(0.66 - 0.86),0.69,(0.61 - 0.78)
All-cause cvd,Male Population,Fatal,0.88,(0.83 - 0.94),0.81,(0.73 - 0.89),0.75,(0.69 - 0.82)
All-cause cvd,Male Population,Both,0.89,(0.85 - 0.94),0.82,(0.76 - 0.89),0.76,(0.71 - 0.82)
All-cause cancer,Female Population,Fatal,0.96,(0.94 - 0.98),0.92,(0.89 - 0.96),0.88,(0.83 - 0.93)
All-cause cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.93 - 0.98),0.92,(0.89 - 0.97)
All-cause cancer,Male Population,Fatal,0.93,(0.91 - 0.96),0.88,(0.84 - 0.93),0.83,(0.78 - 0.89)
All-cause cancer,Male Population,Both,0.97,(0.95 - 0.99),0.94,(0.9 - 0.98),0.9,(0.84 - 0.97)
