outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,3.87,(2.71 - 5.05),7.59,(5.55 - 9.64),10.27,(7.97 - 12.56)
All-cause cancer,Both,2.89,(1.99 - 3.82),6.3,(4.38 - 8.22),10.21,(7.23 - 13.14)
All-cause cvd,Fatal,6.73,(4.57 - 9.02),13.73,(9.76 - 17.78),18.3,(13.71 - 22.88)
All-cause cvd,Both,6.05,(4.37 - 7.82),12.47,(9.39 - 15.59),17.11,(13.77 - 20.46)
All-cause dementia,Non-fatal,9.29,(3.26 - 15.64),12.01,(4.31 - 19.76),0.67,(-3.57 - 5.5)
All-cause dementia,Both,7.68,(3.7 - 11.83),11.96,(6.02 - 17.88),4.34,(0.35 - 8.53)
All-cause mortality,Fatal,10.81,(8.9 - 12.75),17.18,(14.4 - 19.94),20.11,(17.01 - 23.17)
All-cause mortality,Both,10.81,(8.9 - 12.75),17.18,(14.4 - 19.94),20.11,(17.01 - 23.17)
Alzheimer's disease,Non-fatal,1.36,(-0.37 - 3.89),2.89,(-0.86 - 7.71),4.21,(-1.75 - 11.12)
Alzheimer's disease,Both,2.3,(-0.34 - 5.14),6.85,(0.35 - 13.32),13.04,(3.26 - 22.22)
Bladder cancer,Both,2.67,(-0.57 - 6.08),4.2,(-0.03 - 8.55),4.49,(-4.14 - 12.75)
Breast cancer,Fatal,6.48,(-1.91 - 14.87),9.76,(-1.64 - 20.47),8.25,(2.89 - 14.04)
Breast cancer,Both,0.93,(0.46 - 1.42),2.19,(1.13 - 3.27),4.24,(2.41 - 6.08)
Colon cancer,Both,0.87,(0.17 - 1.61),2.04,(0.45 - 3.69),3.84,(1.15 - 6.56)
Coronary heart disease,Fatal,8.84,(5.57 - 12.18),16,(10.57 - 21.33),20.02,(13.9 - 25.93)
Coronary heart disease,Both,6.02,(3.56 - 8.23),11.26,(6.94 - 14.97),14,(7.22 - 20.15)
Depression,Non-fatal,6.46,(4.16 - 8.86),12.25,(7.95 - 16.56),15.32,(9.17 - 21.29)
Depression,Both,6.46,(4.16 - 8.86),12.25,(7.95 - 16.56),15.32,(9.17 - 21.29)
Depressive symptoms,Non-fatal,9.56,(5.22 - 14.04),16.17,(8.86 - 23.27),19.12,(9.53 - 28.09)
Depressive symptoms,Both,9.56,(5.22 - 14.04),16.17,(8.86 - 23.27),19.12,(9.53 - 28.09)
Endometrial cancer,Both,1.34,(0.32 - 2.46),3.48,(0.95 - 6.16),6.3,(2.08 - 10.59)
Esophageal cancer,Both,0.8,(-1.16 - 3.19),1.68,(-2.58 - 6.51),2.04,(-3.73 - 8.32)
Gastric cardia cancer,Both,2.08,(0.61 - 3.97),5.06,(1.58 - 9.3),8.21,(2.71 - 14.53)
Head and neck cancer,Both,14.25,(-0.84 - 29.12),21.03,(0.91 - 38.89),25.21,(4.19 - 43.32)
Heart failure,Both,2.24,(1.12 - 3.51),4.93,(2.52 - 7.56),9.79,(5.22 - 14.53)
Kidney cancer,Both,-1.26,(-5.21 - 3.17),-2.33,(-10 - 5.64),-2.83,(-15.95 - 9.75)
Liver cancer,Both,4.61,(1.27 - 8.24),8.94,(2.77 - 15.25),12.28,(4.19 - 20.23)
Lung cancer,Fatal,3.46,(0.41 - 6.91),6.55,(0.72 - 12.76),9.31,(0.6 - 18.08)
Lung cancer,Both,5.23,(3.02 - 7.01),9.83,(5.41 - 13.44),10.84,(1.88 - 19.57)
Major depression,Non-fatal,3.32,(1.28 - 5.68),7.57,(3.13 - 12.31),8.03,(0.32 - 15.75)
Major depression,Both,3.32,(1.28 - 5.68),7.57,(3.13 - 12.31),8.03,(0.32 - 15.75)
Myeloid leukemia,Both,4.66,(-1.34 - 11.28),9,(-1.23 - 19.19),10.34,(0.52 - 20.16)
Myeloma,Both,2.95,(0.45 - 5.96),6.65,(1.08 - 12.75),6.35,(-0.54 - 13.68)
Parkinson's disease,Non-fatal,3.78,(-0.99 - 9.19),8.95,(-0.4 - 18.47),20.01,(9.68 - 30.06)
Parkinson's disease,Both,3.75,(-0.08 - 8.03),8.45,(0.7 - 16.33),16.53,(6.55 - 26.11)
Prostate cancer,Fatal,2.01,(-2.15 - 6.5),3.24,(-3.75 - 10.37),2.38,(-4.8 - 9.67)
Prostate cancer,Both,-0.11,(-0.48 - 0.26),-0.25,(-1.14 - 0.66),-0.25,(-1.96 - 1.47)
Rectum cancer,Both,1,(-0.5 - 2.6),2.04,(-1.42 - 5.54),1.22,(-3.7 - 6.07)
Stroke,Fatal,6.34,(1.54 - 11.38),12.11,(3.39 - 20.63),16.36,(5.7 - 26.41)
Stroke,Both,6.5,(4.69 - 8.34),11.04,(8.32 - 13.74),12.62,(7.03 - 18.06)
Vascular dementia,Both,3.94,(-3.7 - 17.71),8.31,(-7.39 - 29.17),14.87,(-2.91 - 36.35)
