outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,4.52,(3.13 - 5.94),7.71,(5.68 - 9.75),9,(7.2 - 10.8)
All-cause cancer,Both,3.48,(2.33 - 4.66),6.56,(4.57 - 8.55),8.57,(6.31 - 10.81)
All-cause cvd,Fatal,8,(5.89 - 10.2),15.08,(11.52 - 18.68),18.66,(14.79 - 22.53)
All-cause cvd,Both,6.84,(5.1 - 8.63),13.16,(10.24 - 16.1),16.94,(14.07 - 19.82)
All-cause dementia,Non-fatal,9.35,(3.3 - 15.71),12.14,(4.38 - 19.94),0.99,(-3.48 - 6.04)
All-cause dementia,Both,8.02,(3.9 - 12.3),11.06,(5.58 - 16.55),4.3,(0.49 - 8.32)
All-cause mortality,Fatal,10.73,(8.88 - 12.62),17.08,(14.36 - 19.77),20.05,(17.01 - 23.04)
All-cause mortality,Both,10.73,(8.88 - 12.62),17.08,(14.36 - 19.77),20.05,(17.01 - 23.04)
Alzheimer's disease,Non-fatal,1.48,(-0.47 - 4.34),3.01,(-1 - 8.14),3.77,(-1.54 - 10.15)
Alzheimer's disease,Both,2.21,(-0.45 - 5.05),6.44,(0.49 - 12.4),13.32,(3.62 - 22.39)
Bladder cancer,Both,2.72,(-0.64 - 6.23),3.7,(0.16 - 7.39),4.59,(-3.62 - 12.48)
Breast cancer,Fatal,6.06,(-3.18 - 15.37),8.9,(-2.01 - 19.48),10.44,(2.84 - 18.3)
Breast cancer,Both,1.13,(0.53 - 1.75),2.44,(1.21 - 3.69),4.09,(2.35 - 5.83)
Colon cancer,Both,0.94,(0.19 - 1.74),2.12,(0.49 - 3.82),3.73,(1.24 - 6.25)
Coronary heart disease,Fatal,11.29,(7.12 - 15.5),15.21,(10.2 - 20.18),18.36,(12.93 - 23.68)
Coronary heart disease,Both,7.93,(5.58 - 10.32),12.13,(8.93 - 15.33),14.31,(10.43 - 18.14)
Depression,Non-fatal,7.74,(4.99 - 10.61),12.37,(7.95 - 16.82),14.33,(8.29 - 20.21)
Depression,Both,7.74,(4.99 - 10.61),12.37,(7.95 - 16.82),14.33,(8.29 - 20.21)
Depressive symptoms,Non-fatal,11.15,(5.88 - 16.52),14.77,(7.64 - 21.79),17.6,(8.18 - 26.49)
Depressive symptoms,Both,11.15,(5.88 - 16.52),14.77,(7.64 - 21.79),17.6,(8.18 - 26.49)
Endometrial cancer,Both,1.5,(0.37 - 2.73),3.66,(1.07 - 6.38),5.91,(2.17 - 9.72)
Esophageal cancer,Both,1.02,(-1.34 - 3.88),1.87,(-2.65 - 6.95),1.58,(-3.44 - 7.13)
Gastric cardia cancer,Both,2.45,(0.64 - 4.78),5.4,(1.56 - 10),7.29,(2.34 - 13.03)
Head and neck cancer,Both,13.82,(-1.07 - 28.5),18.21,(1.05 - 34.26),23.04,(2.16 - 41.14)
Heart failure,Both,2.36,(1.15 - 3.74),5,(2.49 - 7.75),9.43,(4.94 - 14.1)
Kidney cancer,Both,-0.95,(-5.25 - 3.85),-1.78,(-8.56 - 5.4),-3.06,(-15.89 - 9.34)
Liver cancer,Both,4.59,(0.9 - 8.59),8.37,(2.11 - 14.76),11.07,(3.45 - 18.63)
Lung cancer,Fatal,3.61,(-0.12 - 7.58),6.28,(0.23 - 12.39),8.05,(2.14 - 14.02)
Lung cancer,Both,5.88,(4.05 - 7.37),9.56,(6.13 - 12.49),8.44,(-0.66 - 17.5)
Major depression,Non-fatal,3.86,(1.53 - 6.53),7.63,(3.23 - 12.35),7.62,(0.14 - 15.13)
Major depression,Both,3.86,(1.53 - 6.53),7.63,(3.23 - 12.35),7.62,(0.14 - 15.13)
Myeloid leukemia,Both,6.67,(0.4 - 13.47),8.33,(1.91 - 15.25),10.22,(1.38 - 19.18)
Myeloma,Both,3.71,(0.79 - 7.23),7.79,(1.75 - 14.37),6.57,(-0.43 - 14.07)
Parkinson's disease,Non-fatal,3.6,(-3.08 - 11.11),8.04,(-2.02 - 18.38),18.63,(10.75 - 26.94)
Parkinson's disease,Both,3.88,(-1.54 - 9.92),7.77,(-0.95 - 16.69),14.78,(6.68 - 23.07)
Prostate cancer,Fatal,3.75,(-1.45 - 9.24),4.47,(-2.02 - 11.11),2.32,(-3.65 - 8.53)
Prostate cancer,Both,-0.16,(-0.64 - 0.35),-0.29,(-1.36 - 0.81),-0.11,(-1.75 - 1.54)
Rectum cancer,Both,1.3,(-0.09 - 2.74),2.07,(-0.49 - 4.65),0.02,(-2.6 - 2.67)
Stroke,Fatal,8.03,(2.5 - 13.72),11.73,(4.3 - 19.1),14.63,(6.2 - 22.81)
Stroke,Both,7.2,(5.33 - 9.1),10.4,(8.12 - 12.69),12.66,(8.46 - 16.77)
Vascular dementia,Both,4.26,(-4.09 - 18.89),8.41,(-7.18 - 29.05),14.56,(-1.53 - 34.85)
