outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,3.31,(2.3 - 4.34),6.84,(4.94 - 8.74),9.85,(7.67 - 12.03)
All-cause cancer,Both,2.06,(1.4 - 2.74),4.77,(3.28 - 6.27),8.71,(6.1 - 11.28)
All-cause cvd,Fatal,5.36,(3.83 - 6.97),11.58,(8.63 - 14.59),17.32,(13.84 - 20.8)
All-cause cvd,Both,4.69,(3.44 - 6),10.35,(7.9 - 12.84),15.76,(13.06 - 18.48)
All-cause dementia,Non-fatal,6.19,(2.61 - 10.13),10.55,(4.77 - 16.54),10.97,(4.65 - 17.44)
All-cause dementia,Both,5.25,(2.72 - 7.96),9.16,(4.95 - 13.48),8.64,(4.43 - 12.95)
All-cause mortality,Fatal,9.62,(7.93 - 11.33),15.82,(13.29 - 18.33),19.17,(16.39 - 21.9)
All-cause mortality,Both,9.62,(7.93 - 11.33),15.82,(13.29 - 18.33),19.17,(16.39 - 21.9)
Alzheimer's disease,Non-fatal,0.9,(-0.33 - 2.75),1.91,(-0.69 - 5.4),3.75,(-1.26 - 9.7)
Alzheimer's disease,Both,0.5,(-0.1 - 1.19),4.5,(-0.15 - 9.29),10.47,(2.45 - 18.23)
Bladder cancer,Both,1.63,(-0.49 - 3.92),3,(-0.44 - 6.56),3.28,(-0.19 - 6.88)
Breast cancer,Fatal,4.79,(-1.46 - 11.33),8.46,(-2.15 - 18.59),9.72,(0.29 - 18.91)
Breast cancer,Both,0.61,(0.31 - 0.92),1.51,(0.79 - 2.23),3.25,(1.9 - 4.6)
Colon cancer,Both,0.59,(0.11 - 1.1),1.52,(0.31 - 2.78),3.08,(0.77 - 5.42)
Coronary heart disease,Fatal,7.57,(4.71 - 10.51),14.74,(9.62 - 19.78),19.62,(13.65 - 25.4)
Coronary heart disease,Both,4.68,(3.3 - 6.11),9.63,(7.01 - 12.27),14.53,(11.08 - 17.94)
Depression,Non-fatal,5.5,(3.69 - 7.41),11.1,(7.47 - 14.77),14.85,(9.26 - 20.3)
Depression,Both,5.5,(3.69 - 7.41),11.1,(7.47 - 14.77),14.85,(9.26 - 20.3)
Elevated depressive symptoms,Non-fatal,8.09,(4.53 - 11.79),14.66,(8.27 - 20.98),18.96,(9.87 - 27.52)
Elevated depressive symptoms,Both,8.09,(4.53 - 11.79),14.66,(8.27 - 20.98),18.96,(9.87 - 27.52)
Endometrial cancer,Both,0.9,(0.23 - 1.65),2.37,(0.66 - 4.2),4.93,(1.71 - 8.24)
Esophageal cancer,Both,0.47,(-0.81 - 2.06),1.06,(-1.91 - 4.52),1.55,(-3.29 - 6.88)
Gastric cardia cancer,Both,1.61,(0.5 - 3.02),4.37,(1.45 - 7.89),7.59,(2.71 - 13.15)
Head and neck cancer,Both,9.6,(2.04 - 18.02),17.1,(3.79 - 30.18),20.38,(0.85 - 37.59)
Heart failure,Both,1.88,(0.75 - 3.19),4.2,(1.82 - 6.88),8.23,(4.35 - 12.41)
Kidney cancer,Both,-0.79,(-3.23 - 2.05),-1.58,(-6.62 - 3.88),-2.33,(-10.78 - 6.27)
Liver cancer,Both,3.75,(1.11 - 6.67),7.63,(2.51 - 12.95),12.3,(5.09 - 19.44)
Lung cancer,Fatal,2.56,(0.27 - 5.21),5.14,(0.51 - 10.22),8.8,(0.59 - 17.22)
Lung cancer,Both,3.86,(2.51 - 5.19),7.25,(4.58 - 9.85),9.46,(3.25 - 15.58)
Major depression,Non-fatal,2.62,(1.11 - 4.34),6.98,(3.21 - 11),8.46,(2.75 - 14.27)
Major depression,Both,2.62,(1.11 - 4.34),6.98,(3.21 - 11),8.46,(2.75 - 14.27)
Myeloid leukemia,Both,4.01,(0.43 - 8.06),7.34,(1.27 - 13.7),7.75,(2.43 - 13.44)
Myeloma,Both,2.12,(-0.07 - 4.81),4.64,(-0.26 - 10.07),6.69,(-1.28 - 14.81)
Parkinson's disease,Non-fatal,2.81,(-1.07 - 7.33),7.03,(-0.77 - 15.22),17.58,(9.66 - 25.69)
Parkinson's disease,Both,2.9,(0.16 - 6),6.76,(1.1 - 12.68),13.95,(6.78 - 21.11)
Prostate cancer,Fatal,1.84,(-1.2 - 5.19),3.31,(-2.32 - 9.15),3.34,(-3.38 - 10.16)
Prostate cancer,Both,-0.09,(-0.41 - 0.24),-0.2,(-0.98 - 0.6),-0.19,(-1.71 - 1.35)
Rectum cancer,Both,0.6,(-0.27 - 1.55),1.26,(-0.74 - 3.34),0.94,(-2.18 - 4.08)
Stroke,Fatal,6.05,(1.34 - 11),11.68,(3.08 - 20.1),15.79,(5.39 - 25.63)
Stroke,Both,4.91,(3.48 - 6.39),9.68,(7.11 - 12.26),13.67,(10.42 - 16.89)
Vascular dementia,Both,1.62,(-1.82 - 7.54),3.59,(-3.71 - 13.77),9.79,(-1.97 - 23.34)
