outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Male Population,Both,1,(0.29 - 1.71),2.82,(0.84 - 4.79),6.05,(1.87 - 10.1)
All-cause cancer,Male Population,Fatal,2.7,(1.42 - 4.02),7.23,(3.92 - 10.53),12.79,(7.34 - 18.03)
All-cause cancer,Female Population,Both,1.05,(0.47 - 1.64),2.72,(1.24 - 4.21),5.91,(2.79 - 8.99)
All-cause cancer,Female Population,Fatal,1.69,(0.6 - 2.82),4.43,(1.66 - 7.2),9.23,(4.13 - 14.17)
All-cause cvd,Male Population,Both,2.81,(2.17 - 3.46),6.8,(5.4 - 8.22),12.38,(10.3 - 14.43)
All-cause cvd,Male Population,Fatal,3.15,(2.4 - 3.91),7.61,(5.96 - 9.27),13.4,(11 - 15.77)
All-cause cvd,Female Population,Both,6.34,(3.39 - 9.4),12.84,(7.65 - 17.95),15.59,(12.8 - 18.47)
All-cause cvd,Female Population,Fatal,7.98,(4.26 - 11.8),15.67,(9.34 - 21.83),17.28,(14.26 - 20.32)
All-cause mortality,Male Population,Both,3.88,(2.65 - 5.16),9.25,(6.49 - 12.02),16.66,(12.31 - 20.89)
All-cause mortality,Male Population,Fatal,3.88,(2.65 - 5.16),9.25,(6.49 - 12.02),16.66,(12.31 - 20.89)
All-cause mortality,Female Population,Both,4.13,(1.74 - 6.63),8.54,(3.74 - 13.3),12.64,(6.13 - 18.48)
All-cause mortality,Female Population,Fatal,4.13,(1.74 - 6.63),8.54,(3.74 - 13.3),12.64,(6.13 - 18.48)
Breast cancer,Female Population,Both,0.54,(0.32 - 0.76),1.42,(0.85 - 2.01),3.34,(2.09 - 4.6)
Colon cancer,Male Population,Both,2.13,(0.68 - 3.75),4.83,(1.57 - 8.28),7.58,(1.76 - 13.41)
Colon cancer,Female Population,Both,0.74,(-0.27 - 1.83),1.8,(-0.56 - 4.24),3.18,(-0.48 - 6.85)
Coronary heart disease,Male Population,Both,1.48,(0.27 - 2.79),3.18,(0.6 - 5.88),6.9,(1.41 - 12.36)
Coronary heart disease,Male Population,Fatal,1.54,(0 - 14.05),2.6,(0 - 21.68),1.72,(0 - 16.3)
Coronary heart disease,Female Population,Both,5.54,(1.9 - 9.52),11.94,(4.26 - 19.82),22.65,(8.63 - 35.54)
Coronary heart disease,Female Population,Fatal,7.66,(0.09 - 18.69),14.12,(0.19 - 31.69),18.47,(0.26 - 40.24)
Endometrial cancer,Female Population,Both,1.2,(0.32 - 2.19),3.4,(0.95 - 6.01),7.15,(2.15 - 12.23)
Rectum cancer,Male Population,Both,1.51,(-2.84 - 6.23),4.09,(-8.14 - 15.71),8.12,(-17.19 - 28.74)
Rectum cancer,Female Population,Both,-1.65,(-6.39 - 3.4),-4.19,(-17 - 7.91),-7.92,(-33.13 - 13.22)
Stroke,Male Population,Both,3.45,(1.96 - 5.05),7.16,(4.18 - 10.3),11.75,(7.06 - 16.55)
Stroke,Female Population,Both,4.45,(2.19 - 6.84),9.65,(5.08 - 14.32),17.43,(10.27 - 24.4)
