outcome,population,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Female Population,Both,0.88,(0.79 - 0.97),0.81,(0.7 - 0.94),0.76,(0.66 - 0.88)
Stroke,Male Population,Both,0.9,(0.86 - 0.94),0.85,(0.79 - 0.91),0.82,(0.76 - 0.89)
Rectum cancer,Female Population,Both,1.09,(0.9 - 1.33),1.13,(0.91 - 1.41),1.13,(0.73 - 1.76)
Rectum cancer,Male Population,Both,0.92,(0.8 - 1.07),0.9,(0.74 - 1.1),0.92,(0.76 - 1.11)
Endometrial cancer,Female Population,Both,0.94,(0.9 - 0.99),0.9,(0.84 - 0.97),0.87,(0.79 - 0.95)
Coronary heart disease,Female Population,Fatal,0.72,(0.63 - 0.83),0.65,(0.55 - 0.77),0.64,(0.54 - 0.74)
Coronary heart disease,Female Population,Both,0.84,(0.75 - 0.93),0.76,(0.65 - 0.89),0.73,(0.6 - 0.87)
Coronary heart disease,Male Population,Fatal,0.85,(0.71 - 1),0.8,(0.64 - 1),0.79,(0.65 - 0.97)
Coronary heart disease,Male Population,Both,0.92,(0.85 - 0.99),0.88,(0.79 - 0.98),0.86,(0.76 - 0.97)
Colon cancer,Female Population,Both,0.97,(0.92 - 1.02),0.95,(0.87 - 1.03),0.93,(0.84 - 1.03)
Colon cancer,Male Population,Both,0.91,(0.86 - 0.96),0.85,(0.78 - 0.94),0.81,(0.72 - 0.91)
Breast cancer,Female Population,Both,0.98,(0.97 - 0.99),0.96,(0.94 - 0.98),0.93,(0.91 - 0.96)
All-cause mortality,Female Population,Fatal,0.85,(0.82 - 0.88),0.77,(0.72 - 0.81),0.72,(0.67 - 0.77)
All-cause mortality,Female Population,Both,0.85,(0.82 - 0.88),0.77,(0.72 - 0.81),0.72,(0.67 - 0.77)
All-cause mortality,Male Population,Fatal,0.88,(0.86 - 0.91),0.81,(0.78 - 0.85),0.76,(0.72 - 0.81)
All-cause mortality,Male Population,Both,0.88,(0.86 - 0.91),0.81,(0.78 - 0.85),0.76,(0.72 - 0.81)
All-cause cvd,Female Population,Fatal,0.81,(0.74 - 0.88),0.71,(0.62 - 0.81),0.67,(0.59 - 0.76)
All-cause cvd,Female Population,Both,0.84,(0.77 - 0.92),0.75,(0.66 - 0.85),0.7,(0.62 - 0.79)
All-cause cvd,Male Population,Fatal,0.88,(0.82 - 0.94),0.8,(0.73 - 0.89),0.75,(0.69 - 0.82)
All-cause cvd,Male Population,Both,0.89,(0.84 - 0.93),0.82,(0.75 - 0.89),0.77,(0.71 - 0.82)
All-cause cancer,Female Population,Fatal,0.95,(0.93 - 0.98),0.92,(0.87 - 0.96),0.88,(0.83 - 0.93)
All-cause cancer,Female Population,Both,0.98,(0.96 - 0.99),0.96,(0.93 - 0.98),0.93,(0.89 - 0.97)
All-cause cancer,Male Population,Fatal,0.9,(0.87 - 0.94),0.86,(0.81 - 0.91),0.84,(0.79 - 0.9)
All-cause cancer,Male Population,Both,0.96,(0.93 - 0.99),0.92,(0.87 - 0.98),0.89,(0.82 - 0.96)
