outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.79,(0.45 - 1.39),0.69,(0.31 - 1.54),0.6,(0.26 - 1.4)
Stroke,Both,0.84,(0.81 - 0.88),0.8,(0.76 - 0.84),0.77,(0.72 - 0.84)
Stroke,Fatal,0.81,(0.7 - 0.94),0.76,(0.64 - 0.91),0.73,(0.6 - 0.89)
Rectum cancer,Both,0.95,(0.9 - 1),0.94,(0.87 - 1.01),0.96,(0.89 - 1.04)
Prostate cancer,Both,1.01,(0.99 - 1.03),1.01,(0.98 - 1.05),1.01,(0.96 - 1.05)
Prostate cancer,Fatal,0.91,(0.79 - 1.04),0.89,(0.76 - 1.05),0.92,(0.79 - 1.07)
Parkinson's disease,Both,0.87,(0.72 - 1.06),0.81,(0.62 - 1.05),0.73,(0.56 - 0.96)
Parkinson's disease,Non-fatal,0.89,(0.69 - 1.13),0.81,(0.59 - 1.11),0.7,(0.52 - 0.95)
Myeloma,Both,0.83,(0.72 - 0.96),0.75,(0.6 - 0.93),0.76,(0.6 - 0.97)
Myeloid leukemia,Both,0.77,(0.6 - 0.99),0.75,(0.58 - 0.97),0.73,(0.54 - 0.97)
Major depression,Both,0.8,(0.7 - 0.91),0.73,(0.61 - 0.87),0.73,(0.58 - 0.91)
Major depression,Non-fatal,0.8,(0.7 - 0.91),0.73,(0.61 - 0.87),0.73,(0.58 - 0.91)
Lung cancer,Both,0.87,(0.85 - 0.9),0.83,(0.79 - 0.87),0.84,(0.74 - 0.95)
Lung cancer,Fatal,0.91,(0.82 - 1),0.86,(0.75 - 1),0.84,(0.72 - 0.97)
Liver cancer,Both,0.88,(0.79 - 0.97),0.82,(0.7 - 0.95),0.78,(0.65 - 0.93)
Kidney cancer,Both,1.03,(0.9 - 1.16),1.04,(0.88 - 1.22),1.06,(0.84 - 1.33)
Heart failure,Both,0.9,(0.86 - 0.95),0.83,(0.76 - 0.91),0.75,(0.66 - 0.86)
Head and neck cancer,Both,0.72,(0.5 - 1.03),0.67,(0.45 - 1),0.63,(0.4 - 0.99)
Gastric cardia cancer,Both,0.86,(0.77 - 0.96),0.78,(0.66 - 0.92),0.73,(0.6 - 0.9)
Esophageal cancer,Both,0.95,(0.85 - 1.07),0.93,(0.78 - 1.11),0.94,(0.77 - 1.13)
Endometrial cancer,Both,0.93,(0.89 - 0.98),0.89,(0.82 - 0.97),0.86,(0.77 - 0.95)
Depressive symptoms,Both,0.78,(0.69 - 0.87),0.73,(0.63 - 0.85),0.7,(0.58 - 0.84)
Depressive symptoms,Non-fatal,0.78,(0.69 - 0.87),0.73,(0.63 - 0.85),0.7,(0.58 - 0.84)
Depression,Both,0.8,(0.74 - 0.86),0.73,(0.66 - 0.82),0.71,(0.62 - 0.81)
Depression,Non-fatal,0.8,(0.74 - 0.86),0.73,(0.66 - 0.82),0.71,(0.62 - 0.81)
Coronary heart disease,Both,0.82,(0.78 - 0.87),0.77,(0.71 - 0.82),0.74,(0.68 - 0.8)
Coronary heart disease,Fatal,0.74,(0.67 - 0.83),0.7,(0.62 - 0.79),0.67,(0.58 - 0.76)
Colon cancer,Both,0.95,(0.91 - 0.99),0.92,(0.86 - 0.98),0.9,(0.83 - 0.97)
Breast cancer,Both,0.96,(0.94 - 0.98),0.93,(0.9 - 0.97),0.91,(0.87 - 0.95)
Breast cancer,Fatal,0.87,(0.71 - 1.08),0.83,(0.65 - 1.06),0.81,(0.67 - 0.99)
Bladder cancer,Both,0.92,(0.82 - 1.02),0.9,(0.81 - 1.01),0.89,(0.76 - 1.06)
Alzheimer's disease,Both,0.87,(0.71 - 1.05),0.8,(0.62 - 1.03),0.73,(0.54 - 0.99)
Alzheimer's disease,Non-fatal,0.87,(0.71 - 1.06),0.8,(0.58 - 1.09),0.77,(0.54 - 1.11)
All-cause mortality,Both,0.76,(0.72 - 0.79),0.67,(0.63 - 0.72),0.64,(0.6 - 0.69)
All-cause mortality,Fatal,0.76,(0.72 - 0.79),0.67,(0.63 - 0.72),0.64,(0.6 - 0.69)
All-cause dementia,Both,0.77,(0.68 - 0.88),0.73,(0.63 - 0.86),0.8,(0.7 - 0.91)
All-cause dementia,Non-fatal,0.74,(0.61 - 0.9),0.7,(0.56 - 0.88),0.8,(0.67 - 0.96)
All-cause cvd,Both,0.8,(0.76 - 0.84),0.7,(0.65 - 0.76),0.65,(0.6 - 0.71)
All-cause cvd,Fatal,0.77,(0.73 - 0.82),0.67,(0.61 - 0.74),0.63,(0.57 - 0.69)
All-cause cancer,Both,0.91,(0.89 - 0.94),0.87,(0.84 - 0.91),0.85,(0.81 - 0.89)
All-cause cancer,Fatal,0.89,(0.86 - 0.92),0.84,(0.8 - 0.88),0.82,(0.79 - 0.86)
