outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Vascular dementia,Both,0.87,(0.61 - 1.24),0.78,(0.44 - 1.38),0.68,(0.36 - 1.29)
Stroke,Both,0.86,(0.83 - 0.9),0.8,(0.75 - 0.85),0.77,(0.72 - 0.82)
Stroke,Fatal,0.82,(0.71 - 0.95),0.76,(0.63 - 0.92),0.73,(0.6 - 0.89)
Rectum cancer,Both,0.96,(0.92 - 1.01),0.95,(0.88 - 1.02),0.96,(0.88 - 1.04)
Prostate cancer,Both,1,(0.99 - 1.02),1.01,(0.98 - 1.04),1.01,(0.96 - 1.05)
Prostate cancer,Fatal,0.91,(0.81 - 1.02),0.87,(0.75 - 1.02),0.9,(0.77 - 1.04)
Parkinson's disease,Both,0.89,(0.77 - 1.03),0.82,(0.66 - 1.02),0.74,(0.59 - 0.93)
Parkinson's disease,Non-fatal,0.9,(0.73 - 1.1),0.82,(0.61 - 1.09),0.7,(0.53 - 0.92)
Myeloma,Both,0.84,(0.74 - 0.95),0.75,(0.61 - 0.92),0.72,(0.57 - 0.92)
Myeloid leukemia,Both,0.8,(0.66 - 0.97),0.75,(0.6 - 0.95),0.75,(0.6 - 0.94)
Major depression,Both,0.83,(0.75 - 0.92),0.75,(0.64 - 0.87),0.74,(0.61 - 0.88)
Major depression,Non-fatal,0.83,(0.75 - 0.92),0.75,(0.64 - 0.87),0.74,(0.61 - 0.88)
Lung cancer,Both,0.89,(0.87 - 0.92),0.84,(0.81 - 0.88),0.83,(0.76 - 0.91)
Lung cancer,Fatal,0.91,(0.84 - 0.99),0.86,(0.76 - 0.99),0.83,(0.71 - 0.97)
Liver cancer,Both,0.9,(0.83 - 0.98),0.84,(0.73 - 0.96),0.78,(0.66 - 0.93)
Kidney cancer,Both,1.02,(0.92 - 1.13),1.03,(0.89 - 1.19),1.04,(0.88 - 1.24)
Heart failure,Both,0.9,(0.85 - 0.96),0.84,(0.75 - 0.93),0.77,(0.68 - 0.87)
Head and neck cancer,Both,0.74,(0.59 - 0.94),0.65,(0.46 - 0.91),0.63,(0.42 - 0.94)
Gastric cardia cancer,Both,0.86,(0.78 - 0.95),0.78,(0.66 - 0.91),0.73,(0.6 - 0.88)
Esophageal cancer,Both,0.97,(0.89 - 1.05),0.95,(0.82 - 1.09),0.94,(0.79 - 1.12)
Endometrial cancer,Both,0.94,(0.9 - 0.99),0.9,(0.84 - 0.97),0.87,(0.8 - 0.95)
Depressive symptoms,Both,0.8,(0.73 - 0.88),0.73,(0.64 - 0.84),0.7,(0.59 - 0.84)
Depressive symptoms,Non-fatal,0.8,(0.73 - 0.88),0.73,(0.64 - 0.84),0.7,(0.59 - 0.84)
Depression,Both,0.82,(0.77 - 0.87),0.75,(0.68 - 0.82),0.72,(0.64 - 0.81)
Depression,Non-fatal,0.82,(0.77 - 0.87),0.75,(0.68 - 0.82),0.72,(0.64 - 0.81)
Coronary heart disease,Both,0.86,(0.83 - 0.9),0.79,(0.74 - 0.84),0.74,(0.69 - 0.8)
Coronary heart disease,Fatal,0.77,(0.7 - 0.85),0.7,(0.62 - 0.8),0.67,(0.59 - 0.76)
Colon cancer,Both,0.96,(0.93 - 0.99),0.93,(0.87 - 0.99),0.9,(0.84 - 0.97)
Breast cancer,Both,0.97,(0.96 - 0.99),0.95,(0.92 - 0.97),0.92,(0.88 - 0.96)
Breast cancer,Fatal,0.9,(0.76 - 1.06),0.85,(0.67 - 1.08),0.82,(0.66 - 1.02)
Bladder cancer,Both,0.93,(0.84 - 1.02),0.9,(0.8 - 1.02),0.9,(0.81 - 1.01)
Alzheimer's disease,Both,0.92,(0.8 - 1.06),0.86,(0.7 - 1.06),0.79,(0.62 - 1.01)
Alzheimer's disease,Non-fatal,0.91,(0.79 - 1.05),0.85,(0.67 - 1.08),0.81,(0.59 - 1.09)
All-cause mortality,Both,0.77,(0.73 - 0.8),0.69,(0.65 - 0.73),0.66,(0.62 - 0.7)
All-cause mortality,Fatal,0.77,(0.73 - 0.8),0.69,(0.65 - 0.73),0.66,(0.62 - 0.7)
All-cause dementia,Both,0.79,(0.71 - 0.88),0.74,(0.65 - 0.85),0.74,(0.65 - 0.85)
All-cause dementia,Non-fatal,0.78,(0.68 - 0.9),0.71,(0.59 - 0.85),0.7,(0.58 - 0.85)
All-cause cvd,Both,0.83,(0.79 - 0.87),0.73,(0.69 - 0.79),0.67,(0.63 - 0.72)
All-cause cvd,Fatal,0.81,(0.77 - 0.85),0.71,(0.66 - 0.77),0.65,(0.6 - 0.71)
All-cause cancer,Both,0.93,(0.91 - 0.95),0.88,(0.85 - 0.92),0.85,(0.81 - 0.89)
All-cause cancer,Fatal,0.9,(0.88 - 0.93),0.85,(0.81 - 0.89),0.82,(0.78 - 0.86)
