outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,6.7,(3.78 - 9.74),11.72,(7.06 - 16.42),14.94,(9.6 - 20.24)
All-cause cancer,Both,5.03,(2.86 - 7.31),9.15,(5.36 - 12.98),12.06,(7.06 - 17.02)
All-cause cvd,Fatal,6.19,(3.53 - 9.13),12.91,(7.74 - 18.3),19.9,(12.78 - 26.91)
All-cause cvd,Both,5.63,(3.66 - 7.76),11.8,(7.97 - 15.78),18.17,(12.94 - 23.38)
All-cause mortality,Fatal,12.51,(9.25 - 15.82),19.92,(15.25 - 24.5),22.98,(18.17 - 27.68)
All-cause mortality,Both,12.51,(9.25 - 15.82),19.92,(15.25 - 24.5),22.98,(18.17 - 27.68)
Breast cancer,Fatal,5.65,(-5.8 - 16.89),10.39,(-7.3 - 26.18),16.43,(0.72 - 30.61)
Breast cancer,Both,0.72,(0.06 - 1.41),1.69,(0.26 - 3.16),3.75,(1.42 - 6.09)
Colon cancer,Both,0.39,(-0.08 - 0.9),1.12,(-0.21 - 2.52),2.48,(-0.21 - 5.22)
Coronary heart disease,Fatal,9.6,(6.58 - 12.69),17.55,(12.52 - 22.48),21.27,(16.08 - 26.32)
Coronary heart disease,Both,5.18,(3.39 - 7),10.37,(7.19 - 13.47),15.77,(12.09 - 19.2)
Endometrial cancer,Both,2.07,(0.85 - 3.48),5.41,(2.32 - 8.79),11.02,(5.09 - 17.06)
Esophageal cancer,Both,1.14,(-1.08 - 4.03),2.67,(-2.75 - 8.95),4,(-5.02 - 13.46)
Gastric cardia cancer,Both,0.99,(-0.35 - 2.88),2.97,(-1.07 - 8.11),5.41,(-1.92 - 13.82)
Head and neck cancer,Both,10.69,(3.97 - 18.1),18.58,(6.78 - 30.24),20.51,(-0.4 - 38.43)
Heart failure,Both,2.75,(1.05 - 4.89),5.63,(2.47 - 9.36),8.76,(4.8 - 13.02)
Kidney cancer,Both,5.27,(1.09 - 9.64),9.25,(2.51 - 15.94),12.13,(4.77 - 19.33)
Liver cancer,Both,4.72,(0.65 - 9.28),9.31,(1.57 - 17.32),14.19,(3.56 - 24.53)
Lung cancer,Both,7.65,(4.26 - 10.8),11.99,(6.16 - 17.41),9.97,(-0.11 - 20.23)
Prostate cancer,Fatal,3.15,(-1.87 - 8.6),5.75,(-3.43 - 15.04),6.84,(-4.46 - 17.87)
Prostate cancer,Both,-0.24,(-0.79 - 0.35),-0.55,(-1.88 - 0.83),-0.87,(-3.36 - 1.67)
Rectum cancer,Both,1.58,(0.37 - 2.89),3.53,(0.79 - 6.37),4.16,(0.21 - 8.14)
Stroke,Fatal,3.47,(-0.38 - 7.64),7.21,(-0.25 - 14.72),10.48,(2.15 - 18.68)
Stroke,Both,4.58,(2.92 - 6.32),9.01,(6.2 - 11.87),12.9,(9.77 - 16.03)
