outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Both,0.9,(0.86 - 0.93),0.82,(0.77 - 0.87),0.75,(0.69 - 0.81)
Stroke,Fatal,0.92,(0.83 - 1.03),0.87,(0.73 - 1.03),0.8,(0.64 - 1)
Rectum cancer,Both,0.95,(0.89 - 1),0.9,(0.81 - 1.01),0.87,(0.74 - 1.02)
Prostate cancer,Both,1.01,(0.99 - 1.03),1.02,(0.98 - 1.06),1.03,(0.96 - 1.09)
Prostate cancer,Fatal,0.96,(0.89 - 1.04),0.93,(0.81 - 1.07),0.89,(0.72 - 1.1)
Lung cancer,Both,0.89,(0.84 - 0.94),0.82,(0.74 - 0.9),0.83,(0.69 - 0.99)
Liver cancer,Both,0.89,(0.82 - 0.97),0.8,(0.69 - 0.94),0.71,(0.57 - 0.89)
Kidney cancer,Both,0.92,(0.87 - 0.99),0.86,(0.77 - 0.97),0.79,(0.66 - 0.94)
Heart failure,Both,0.89,(0.84 - 0.94),0.8,(0.73 - 0.88),0.71,(0.64 - 0.79)
Head and neck cancer,Both,0.82,(0.73 - 0.92),0.7,(0.57 - 0.87),0.64,(0.44 - 0.95)
Gastric cardia cancer,Both,0.94,(0.85 - 1.03),0.88,(0.74 - 1.05),0.81,(0.62 - 1.08)
Esophageal cancer,Both,0.97,(0.88 - 1.07),0.95,(0.78 - 1.14),0.91,(0.67 - 1.24)
Endometrial cancer,Both,0.91,(0.87 - 0.96),0.84,(0.77 - 0.92),0.74,(0.64 - 0.87)
Coronary heart disease,Both,0.88,(0.85 - 0.92),0.8,(0.75 - 0.85),0.71,(0.66 - 0.77)
Coronary heart disease,Fatal,0.84,(0.79 - 0.89),0.73,(0.66 - 0.81),0.62,(0.54 - 0.71)
Colon cancer,Both,0.98,(0.96 - 1),0.95,(0.92 - 1),0.92,(0.86 - 0.99)
Breast cancer,Both,0.98,(0.96 - 0.99),0.95,(0.92 - 0.98),0.91,(0.87 - 0.96)
Breast cancer,Fatal,0.91,(0.78 - 1.07),0.85,(0.66 - 1.09),0.78,(0.59 - 1.02)
All-cause mortality,Both,0.75,(0.7 - 0.81),0.64,(0.57 - 0.72),0.6,(0.53 - 0.68)
All-cause mortality,Fatal,0.75,(0.7 - 0.81),0.64,(0.57 - 0.72),0.6,(0.53 - 0.68)
All-cause cvd,Both,0.84,(0.79 - 0.89),0.72,(0.65 - 0.8),0.59,(0.5 - 0.69)
All-cause cvd,Fatal,0.83,(0.77 - 0.89),0.7,(0.61 - 0.81),0.56,(0.45 - 0.7)
All-cause cancer,Both,0.91,(0.88 - 0.95),0.85,(0.79 - 0.91),0.78,(0.71 - 0.87)
All-cause cancer,Fatal,0.89,(0.85 - 0.93),0.81,(0.74 - 0.88),0.73,(0.65 - 0.83)
