outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,3.68,(2.54 - 4.86),7.05,(5.1 - 9),9.29,(7.36 - 11.22)
All-cause cancer,Both,2.53,(1.66 - 3.42),5.22,(3.55 - 6.9),7.8,(5.65 - 9.93)
All-cause cvd,Fatal,6.02,(4.42 - 7.69),12.25,(9.37 - 15.17),17.05,(13.92 - 20.19)
All-cause cvd,Both,5.29,(3.93 - 6.7),10.86,(8.43 - 13.31),15.42,(13.01 - 17.85)
All-cause dementia,Non-fatal,6.76,(2.86 - 11.03),10.65,(4.86 - 16.67),10.7,(4.62 - 16.97)
All-cause dementia,Both,6.37,(3.34 - 9.59),9.15,(5.01 - 13.41),8.59,(4.54 - 12.77)
All-cause mortality,Fatal,10.11,(8.32 - 11.91),15.66,(13.16 - 18.15),18.75,(16.09 - 21.39)
All-cause mortality,Both,10.11,(8.32 - 11.91),15.66,(13.16 - 18.15),18.75,(16.09 - 21.39)
Alzheimer's disease,Non-fatal,0.95,(-0.37 - 2.9),1.94,(-0.73 - 5.52),3.59,(-1.18 - 9.3)
Alzheimer's disease,Both,0.47,(-0.27 - 1.31),3.95,(-0.39 - 8.4),9.98,(3.51 - 16.32)
Bladder cancer,Both,1.91,(-0.54 - 4.52),2.98,(-0.24 - 6.33),3.11,(0.02 - 6.35)
Breast cancer,Fatal,4.56,(-2.55 - 12.05),7.75,(-3.24 - 18.43),9.56,(0.67 - 18.52)
Breast cancer,Both,0.69,(0.32 - 1.07),1.62,(0.79 - 2.46),3.23,(1.85 - 4.63)
Colon cancer,Both,0.7,(0.11 - 1.33),1.69,(0.33 - 3.12),2.96,(0.92 - 5.05)
Coronary heart disease,Fatal,9.73,(6.07 - 13.44),15.1,(10.04 - 20.09),18.04,(12.84 - 23.13)
Coronary heart disease,Both,5.51,(3.95 - 7.11),10.28,(7.61 - 12.96),13.58,(10.51 - 16.64)
Depression,Non-fatal,6.38,(4.25 - 8.63),11.53,(7.69 - 15.43),13.89,(8.44 - 19.25)
Depression,Both,6.38,(4.25 - 8.63),11.53,(7.69 - 15.43),13.89,(8.44 - 19.25)
Elevated depressive symptoms,Non-fatal,9.45,(5.19 - 13.86),14.44,(7.88 - 20.92),17.01,(8.39 - 25.24)
Elevated depressive symptoms,Both,9.45,(5.19 - 13.86),14.44,(7.88 - 20.92),17.01,(8.39 - 25.24)
Endometrial cancer,Both,1.1,(0.26 - 2.02),2.62,(0.76 - 4.6),4.54,(1.88 - 7.28)
Esophageal cancer,Both,0.68,(-0.95 - 2.68),1.38,(-2.06 - 5.32),1.57,(-3.05 - 6.67)
Gastric cardia cancer,Both,1.95,(0.58 - 3.68),4.77,(1.58 - 8.57),6.77,(2.55 - 11.63)
Head and neck cancer,Both,10.59,(2.1 - 19.96),17.46,(3.68 - 30.98),19.83,(1.23 - 36.55)
Heart failure,Both,2.23,(0.8 - 3.89),4.63,(1.9 - 7.66),7.86,(4.31 - 11.68)
Kidney cancer,Both,-0.65,(-3.69 - 2.81),-1.23,(-6.39 - 4.34),-1.91,(-9.2 - 5.63)
Liver cancer,Both,3.49,(0.58 - 6.71),6.75,(1.44 - 12.31),10.27,(3.26 - 17.31)
Lung cancer,Fatal,3.45,(0.27 - 6.85),6.04,(0.63 - 11.54),8.18,(1.6 - 14.69)
Lung cancer,Both,4.39,(3.16 - 5.63),7.26,(5.1 - 9.4),8.54,(3.04 - 13.98)
Major depression,Non-fatal,2.97,(1.27 - 4.91),7.28,(3.36 - 11.44),8.04,(2.38 - 13.82)
Major depression,Both,2.97,(1.27 - 4.91),7.28,(3.36 - 11.44),8.04,(2.38 - 13.82)
Myeloid leukemia,Both,4.93,(0.68 - 9.7),7.08,(1.65 - 12.94),7.57,(2.23 - 13.33)
Myeloma,Both,3.34,(0.9 - 6.26),6.76,(1.9 - 12.09),8.3,(1.91 - 14.99)
Parkinson's disease,Non-fatal,2.76,(-2.1 - 8.38),6.77,(-1.71 - 15.64),17.16,(10.49 - 24.3)
Parkinson's disease,Both,2.89,(-0.65 - 6.92),6.41,(-0.18 - 13.3),13.03,(6.26 - 19.99)
Prostate cancer,Fatal,3.5,(-0.54 - 7.85),5.18,(-0.94 - 11.45),3.62,(-1.99 - 9.46)
Prostate cancer,Both,-0.1,(-0.48 - 0.29),-0.21,(-1.1 - 0.71),-0.1,(-1.61 - 1.42)
Rectum cancer,Both,0.77,(-0.15 - 1.75),1.43,(-0.45 - 3.36),0.52,(-1.74 - 2.82)
Stroke,Fatal,7.31,(2.06 - 12.77),11.72,(3.92 - 19.42),14.6,(5.94 - 22.98)
Stroke,Both,5.53,(3.96 - 7.15),9.77,(7.31 - 12.24),12.37,(9.63 - 15.1)
Vascular dementia,Both,2.03,(-2.24 - 9.55),4.24,(-4.22 - 16.14),10.26,(-0.14 - 23.41)
