outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
Stroke,Both,0.88,(0.84 - 0.92),0.8,(0.75 - 0.86),0.75,(0.7 - 0.81)
Stroke,Fatal,0.9,(0.8 - 1.01),0.84,(0.7 - 1.01),0.79,(0.65 - 0.97)
Rectum cancer,Both,0.93,(0.87 - 0.98),0.88,(0.8 - 0.97),0.87,(0.77 - 0.98)
Prostate cancer,Both,1.01,(0.99 - 1.04),1.02,(0.97 - 1.07),1.03,(0.96 - 1.1)
Prostate cancer,Fatal,0.94,(0.84 - 1.04),0.9,(0.76 - 1.07),0.88,(0.72 - 1.08)
Lung cancer,Both,0.8,(0.71 - 0.9),0.72,(0.6 - 0.87),0.74,(0.58 - 0.93)
Liver cancer,Both,0.89,(0.8 - 0.98),0.81,(0.68 - 0.96),0.74,(0.58 - 0.93)
Kidney cancer,Both,0.89,(0.81 - 0.98),0.83,(0.72 - 0.96),0.79,(0.68 - 0.93)
Heart failure,Both,0.87,(0.83 - 0.92),0.78,(0.71 - 0.86),0.7,(0.63 - 0.78)
Head and neck cancer,Both,0.74,(0.62 - 0.89),0.64,(0.48 - 0.84),0.62,(0.41 - 0.92)
Gastric cardia cancer,Both,0.92,(0.81 - 1.04),0.86,(0.69 - 1.07),0.8,(0.58 - 1.1)
Esophageal cancer,Both,0.95,(0.84 - 1.06),0.9,(0.73 - 1.12),0.87,(0.64 - 1.18)
Endometrial cancer,Both,0.91,(0.86 - 0.96),0.83,(0.75 - 0.92),0.74,(0.63 - 0.87)
Coronary heart disease,Both,0.86,(0.83 - 0.9),0.78,(0.72 - 0.83),0.71,(0.66 - 0.76)
Coronary heart disease,Fatal,0.78,(0.72 - 0.84),0.67,(0.6 - 0.76),0.63,(0.56 - 0.71)
Colon cancer,Both,0.97,(0.94 - 1.01),0.95,(0.89 - 1.01),0.92,(0.84 - 1.01)
Breast cancer,Both,0.98,(0.95 - 1),0.95,(0.91 - 1),0.92,(0.87 - 0.98)
Breast cancer,Fatal,0.91,(0.76 - 1.1),0.85,(0.65 - 1.12),0.78,(0.6 - 1.02)
All-cause mortality,Both,0.73,(0.67 - 0.79),0.63,(0.57 - 0.71),0.6,(0.54 - 0.68)
All-cause mortality,Fatal,0.73,(0.67 - 0.79),0.63,(0.57 - 0.71),0.6,(0.54 - 0.68)
All-cause cvd,Both,0.81,(0.76 - 0.86),0.69,(0.61 - 0.77),0.59,(0.51 - 0.69)
All-cause cvd,Fatal,0.8,(0.73 - 0.87),0.67,(0.57 - 0.78),0.57,(0.46 - 0.7)
All-cause cancer,Both,0.91,(0.88 - 0.95),0.86,(0.81 - 0.92),0.82,(0.76 - 0.88)
All-cause cancer,Fatal,0.89,(0.84 - 0.93),0.82,(0.76 - 0.89),0.78,(0.72 - 0.85)
