outcome,outcome_type,lowest_guideline,lowest_CFI,mid_guideline,mid_CFI,highest_guideline,highest_CFI
All-cause cancer,Fatal,5.84,(3.17 - 8.67),11.36,(6.42 - 16.36),16.87,(9.99 - 23.59)
All-cause cancer,Both,4.26,(2.36 - 6.28),8.56,(4.82 - 12.39),13.36,(7.47 - 19.16)
All-cause cvd,Fatal,5.15,(2.88 - 7.68),11.78,(6.88 - 16.92),21.48,(13.44 - 29.25)
All-cause cvd,Both,4.63,(3 - 6.42),10.65,(7.12 - 14.33),19.2,(13.51 - 24.78)
All-cause mortality,Fatal,11.36,(8.31 - 14.48),19.9,(15.09 - 24.61),24.26,(19.02 - 29.33)
All-cause mortality,Both,11.36,(8.31 - 14.48),19.9,(15.09 - 24.61),24.26,(19.02 - 29.33)
Breast cancer,Fatal,5.51,(-3.87 - 14.92),10.61,(-5.55 - 25.27),17.13,(0.23 - 32.05)
Breast cancer,Both,0.69,(0.24 - 1.16),1.66,(0.62 - 2.74),3.98,(1.86 - 6.13)
Colon cancer,Both,0.32,(0.03 - 0.64),1,(0.09 - 1.97),2.71,(0.3 - 5.18)
Coronary heart disease,Fatal,6.79,(4.14 - 9.57),14.66,(9.4 - 19.92),23.03,(16.13 - 29.65)
Coronary heart disease,Both,4.3,(1.73 - 6.25),9.07,(3.85 - 12.7),14.9,(7.06 - 19.46)
Endometrial cancer,Both,1.79,(0.78 - 2.97),4.85,(2.17 - 7.81),11.01,(5.17 - 16.98)
Esophageal cancer,Both,0.59,(-1.24 - 3.06),1.53,(-3.34 - 7.44),3.11,(-6.82 - 13.58)
Gastric cardia cancer,Both,0.77,(-0.23 - 2.19),2.46,(-0.76 - 6.68),5.36,(-1.71 - 13.59)
Head and neck cancer,Both,7.3,(2.79 - 12.31),15.56,(5.96 - 25.21),20.92,(-1.97 - 39.88)
Heart failure,Both,2.26,(0.56 - 4.46),4.77,(1.34 - 8.86),8.05,(2.77 - 13.47)
Kidney cancer,Both,3.48,(0.63 - 6.51),7.39,(1.59 - 13.25),13.76,(4.29 - 22.69)
Liver cancer,Both,4.7,(1.2 - 8.6),9.75,(2.74 - 17.01),16.26,(5.78 - 26.33)
Lung cancer,Both,0,(0 - 4.05),0,(0 - 7.65),0,(0 - 10.2)
Prostate cancer,Fatal,2.04,(-1.62 - 6.1),4.27,(-3.48 - 12.28),6.97,(-5.96 - 19.34)
Prostate cancer,Both,-0.23,(-0.68 - 0.26),-0.54,(-1.66 - 0.64),-0.98,(-3.38 - 1.45)
Rectum cancer,Both,1.16,(-0.06 - 2.51),2.98,(-0.21 - 6.34),5.56,(-1.13 - 12.09)
Stroke,Fatal,2.7,(-0.74 - 6.71),6.22,(-1.14 - 14.14),10.88,(0.96 - 20.91)
Stroke,Both,3.83,(2.33 - 5.39),8.21,(5.35 - 11.1),13.42,(9.63 - 17.11)
